coverage,detection_rate,time_to_first_victim,mission_time,redundancy,mean_connectivity,total_path_length,n_alive_end,scenario,level,seed,strategy
0.9451665312753859,1.0,18,80,8.94327460249248,0.8604938271604938,761.7997607662397,10,S1_packet_loss,0.0,100,centralized
0.8872210953346856,1.0,0,75,8.667581161408322,0.7710526315789473,708.4594926252382,10,S1_packet_loss,0.0,101,centralized
0.997563946406821,1.0,10,90,9.344729344729345,0.7934065934065935,876.267439230126,10,S1_packet_loss,0.0,102,centralized
0.8819951338199513,1.0,0,69,7.9526436781609195,0.8171428571428571,619.7131613723917,10,S1_packet_loss,0.0,103,centralized
0.8887083671811535,1.0,7,73,8.745886654478976,0.9324324324324325,723.3417568834593,10,S1_packet_loss,0.0,104,centralized
0.7813896789922795,1.0,6,67,8.825793031721268,0.8808823529411766,607.9687896302394,10,S1_packet_loss,0.0,105,centralized
0.9379058441558441,1.0,0,71,8.095196884465599,0.8847222222222223,677.4508785937146,10,S1_packet_loss,0.0,106,centralized
0.9691433211530653,1.0,6,84,9.001675743611228,0.8800000000000001,764.5898626469041,10,S1_packet_loss,0.0,107,centralized
0.9723801787164906,1.0,17,77,8.200501253132833,0.9615384615384613,747.2940351020319,10,S1_packet_loss,0.1,100,centralized
0.9841784989858012,1.0,0,120,12.58037922506183,0.8074380165289256,974.6144287284984,10,S1_packet_loss,0.1,101,centralized
0.9719853836784409,1.0,11,77,8.124895572263993,0.9448717948717951,764.2383434812838,10,S1_packet_loss,0.1,102,centralized
0.7915652879156528,1.0,0,60,7.583504098360656,0.8295081967213116,559.2975080866554,10,S1_packet_loss,0.1,103,centralized
0.9805036555645816,1.0,7,83,8.691383595691798,0.8857142857142858,813.2052237405501,10,S1_packet_loss,0.1,104,centralized
0.8423405119869971,1.0,6,71,8.66425470332851,0.875,647.6660257276855,10,S1_packet_loss,0.1,105,centralized
0.9500811688311688,1.0,0,72,7.879965826569842,0.915068493150685,704.7039744714313,10,S1_packet_loss,0.1,106,centralized
0.9565570442549736,1.0,6,99,10.915959252971138,0.8040000000000002,910.3851604287432,10,S1_packet_loss,0.1,107,centralized
0.9041429731925265,1.0,19,80,9.029649595687331,0.7716049382716049,762.1362963690556,10,S1_packet_loss,0.3,100,centralized
0.9691683569979715,1.0,0,86,9.184177480117205,0.893103448275862,804.6780027681181,10,S1_packet_loss,0.3,101,centralized
0.9890377588306942,1.0,11,108,10.711412151067323,0.6642201834862385,772.8165534409476,10,S1_packet_loss,0.3,102,centralized
0.9744525547445255,1.0,0,93,9.602163961714524,0.6797872340425534,792.1087519154652,10,S1_packet_loss,0.3,103,centralized
0.9817221770917953,1.0,8,89,9.520479933802234,0.7911111111111113,775.7114503539597,10,S1_packet_loss,0.3,104,centralized
0.8122714343762698,1.0,7,66,8.449224612306153,0.9074626865671641,609.9383691531124,10,S1_packet_loss,0.3,105,centralized
0.9732142857142857,1.0,0,99,10.579232693911592,0.7100000000000002,912.602279459863,10,S1_packet_loss,0.3,106,centralized
0.8518067397482745,1.0,6,79,9.105815061963774,0.7699999999999999,631.4986557358575,10,S1_packet_loss,0.3,107,centralized
0.9695369618196588,1.0,20,99,10.710934227063259,0.888,749.3847565487089,10,S1_packet_loss,0.5,100,centralized
0.9878296146044625,1.0,0,109,11.320328542094456,0.7481818181818184,860.9315902483908,10,S1_packet_loss,0.5,101,centralized
0.9870077141697118,1.0,10,105,11.151378033730975,0.8773584905660378,852.5290010200206,10,S1_packet_loss,0.5,102,centralized
0.981346309813463,1.0,0,104,10.850413223140496,0.6857142857142857,780.8741958444044,10,S1_packet_loss,0.5,103,centralized
0.9118602761982129,1.0,7,83,9.687750556792873,0.835714285714286,675.7043201538528,10,S1_packet_loss,0.5,104,centralized
0.8451848841934173,1.0,6,84,10.398076923076923,0.9176470588235293,633.2344355575215,10,S1_packet_loss,0.5,105,centralized
0.961038961038961,1.0,0,114,12.429054054054054,0.6756521739130436,836.1912529110735,10,S1_packet_loss,0.5,106,centralized
0.9837596427121397,1.0,7,149,14.810978126289724,0.6393333333333334,985.9835937477317,10,S1_packet_loss,0.5,107,centralized
